TransactionID,AgentID,TransactionDate
T001,14,2019-08-08
T002,430,2019-08-24
T003,147,2019-08-29
T004,217,2019-10-10
T005,147,2019-12-25
T006,148,2020-02-04
T007,383,2020-02-18
T008,238,2020-02-29
T009,354,2020-04-11
T010,238,2020-06-26
T011,129,2020-07-07
T012,149,2020-08-06
T013,412,2020-08-08
T014,149,2020-09-05
T015,64,2020-10-03
T016,133,2020-10-04
T017,396,2020-10-10
T018,190,2020-10-11
T019,339,2020-10-14
T020,304,2020-10-14
T021,192,2020-10-23
T022,457,2020-11-04
T023,98,2020-11-11
T024,300,2020-11-12
T025,149,2020-11-18
T026,170,2020-12-15
T027,29,2021-01-02
T028,300,2021-02-20
T029,155,2021-02-28
T030,29,2021-03-24
T031,192,2021-05-07
T032,434,2021-05-22
T033,200,2021-05-29
T034,29,2021-05-30
T035,234,2021-07-01
T036,497,2021-09-10
T037,302,2021-09-21
T038,383,2021-10-06
T039,244,2021-12-02
T040,434,2021-12-03
T041,419,2021-12-04
T042,376,2021-12-20
T043,70,2022-01-17
T044,421,2022-01-30
T045,107,2022-02-05
T046,316,2022-02-19
T047,343,2022-02-25
T048,92,2022-03-31
T049,339,2022-04-21
T050,170,2022-04-29
T051,345,2022-05-01
T052,66,2022-05-03
T053,443,2022-05-13
T054,205,2022-05-15
T055,411,2022-05-27
T056,293,2022-05-27
T057,155,2022-05-28
T058,382,2022-06-09
T059,337,2022-06-19
T060,29,2022-06-24
T061,222,2022-08-21
T062,328,2022-08-29
T063,332,2022-09-16
T064,14,2022-09-29
T065,481,2022-11-12
T066,154,2022-12-09
T067,16,2022-12-14
T068,114,2022-12-30
T069,428,2023-01-03
T070,114,2023-01-10
T071,192,2023-01-22
T072,345,2023-02-17
T073,205,2023-02-20
T074,327,2023-02-25
T075,98,2023-03-20
T076,129,2023-03-21
T077,185,2023-03-23
T078,167,2023-04-02
T079,155,2023-04-08
T080,91,2023-04-17
T081,359,2023-04-26
T082,430,2023-05-05
T083,115,2023-05-13
T084,332,2023-05-19
T085,226,2023-05-25
T086,497,2023-06-06
T087,192,2023-07-02
T088,112,2023-07-04
T089,64,2023-07-09
T090,234,2023-07-16
T091,133,2023-07-19
T092,217,2023-07-22
T093,126,2023-07-30
T094,149,2023-08-12
T095,346,2023-08-19
T096,112,2023-08-23
T097,234,2023-08-31
T098,383,2023-09-04
T099,300,2023-10-03
T100,376,2023-10-06
T101,217,2023-11-05
T102,421,2023-11-05
T103,300,2023-12-02
T104,92,2023-12-21
T105,382,2024-01-06
T106,382,2024-01-08
T107,304,2024-01-08
T108,302,2024-01-13
T109,434,2024-01-19
T110,378,2024-01-28
T111,91,2024-02-20
T112,243,2024-02-23
T113,235,2024-04-16
T114,412,2024-04-18
T115,300,2024-04-24
T116,396,2024-04-27
T117,133,2024-04-30
T118,234,2024-05-21
T119,382,2024-05-28
T120,98,2024-06-04
T121,62,2024-06-13
T122,368,2024-06-16
T123,481,2024-09-22
T124,147,2024-09-25
T125,66,2024-09-27
T126,66,2024-10-03
T127,382,2024-10-10
T128,382,2024-10-16
T129,175,2024-10-24
T130,368,2024-10-24
T131,226,2024-11-18
T132,434,2024-11-27
T133,259,2024-12-19
T134,112,2025-01-15
T135,343,2025-01-17
T136,170,2025-01-19
T137,58,2025-01-30
T138,217,2025-02-02
T139,200,2025-02-12
T140,107,2025-02-13
T141,333,2025-02-28
T142,16,2025-03-04
T143,411,2025-06-06
T144,155,2025-06-29
T145,191,2025-08-10
